Make,YOM,Color,Used,Transmission,Mileage,Price,City
Nissan,2014,Yellow,Foreign Used,Manual,136000.0,740000,Nairobi
Nissan,2014,Gray,Foreign Used,Automatic,86532.0,790000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,76000.0,660000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,91000.0,1200000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,86532.0,1850000,Nairobi
Nissan,2014,Gray,Foreign Used,Automatic,59000.0,1280000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,86532.0,770000,Nairobi
Nissan,2013,Red,Foreign Used,Automatic,65000.0,2200000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,100000.0,780000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,86532.0,770000,Nairobi
Nissan,2014,Purple,Foreign Used,CVT,72000.0,795000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,98000.0,1950000,Mombasa
Nissan,2014,Gray,Foreign Used,Automatic,68000.0,730000,Nairobi
Nissan,2014,Pink,Foreign Used,Automatic,70000.0,755000,Nairobi
Nissan,2014,Brown,Foreign Used,Automatic,128000.0,1350000,Nairobi
Nissan,2015,Silver,Foreign Used,Automatic,86000.0,1350000,Mombasa
Nissan,2013,Black,Foreign Used,Automatic,98636.0,1600000,Mombasa
Nissan,2015,Silver,Foreign Used,Automatic,86532.0,1500000,Mombasa
Nissan,2014,Yellow,Foreign Used,Manual,136000.0,740000,Nairobi
Nissan,2014,Pearl,Foreign Used,Automatic,96000.0,2050000,Nairobi
Nissan,2014,Blue,Foreign Used,Automatic,84624.0,1300000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,92000.0,2250000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,106000.0,765000,Nairobi
Nissan,2014,Gray,Foreign Used,Automatic,89000.0,1300000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,90500.0,750000,Mombasa
Nissan,2014,Red,Foreign Used,Automatic,95871.0,700000,Mombasa
Nissan,2014,Blue,Foreign Used,Automatic,177000.0,715500,Nairobi
Nissan,2013,Gray,Foreign Used,Automatic,65847.0,1300000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,74184.0,780000,Mombasa
Nissan,2014,Gray,Foreign Used,Automatic,86532.0,790000,Nairobi
Nissan,2014,Purple,Foreign Used,CVT,72000.0,795000,Nairobi
Nissan,2013,Black,Foreign Used,Automatic,74132.0,1250000,Mombasa
Nissan,2014,Brown,Foreign Used,Automatic,76466.0,2450000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,86532.0,1200000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,86532.0,780000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,78000.0,1380000,Nairobi
Nissan,2015,Gray,Foreign Used,Automatic,86532.0,1499999,Nairobi
